,Brigade Lakefront,Brigade Cosmopolis,Brigade Cosmopolis,Divyashree Row,Godrej United,Assetz Marq,Ardente Wind Song,Bhartiya city - Nikoo homes,Brigade Omega,Brigade Omega,Concorde Wind Rush,Concorde Wind Rush,Concorde Tech Turf,Concorde Tech Turf
Type,2 bhk,2 bhk,2 bhk,2 bhk,2 bhk,2 bhk,2.5 bhk,2 bhk,2 bhk,2 bhk,2 bhk - North,2 bhk - East Corner,2 bhk - East,3 bhk - East
Posession date,,,,,,,,15/12/2015,2015,2015,15/12/2015,15/12/2015,15/12/2015,15/12/2015
Location,Whitefield,Whitefield,Whitefield,Whitefield,Whitefield,Whitefield,Ba0shankari,Thanisandra,Kanakapura road,Kanakapura road,Electronic City,Electronic City,Electronic City,Electronic City
Area,1330,1320,1340,1047,1338,1245,1360,1182,1370,1660,943.86,1016.78,1066.91,1314.59
Price per sq ft,0,6290,6290,5700,5900,4500,5000,4820,4590,4640,3300,3455,3700,3700
Introductory price psf,5690,6240,6240,0,0,4250,0,0,4390,4440,0,0,0,0
Reservation for car park,325000,325000,325000,0,300000,250000,250000,,350000,350000,100000,100000,150000,150000
Total including parking,7892700,8561800,8686600,5967900,8194200,5852500,7050000,5947240,6638300,8052400,3214738,3612974.9,4097567,5013983
Final price including car park,7892700,8561800,8686600,5967900,8194200,5852500,7050000,5947240,6364300,7637400,3214738,3612974.9,4097567,5013983
Floor rise psf,30,20,20,,15,15,15,0,30,30,0,0,0,0
Floor rise total,399000,264000,268000,0,200700,186750,0,0,369900,486000,0,0,0,0
Club house fees,101124,101124,101124,0,13000,200000,175000,125000,101124,101124,50000,50000,150000,150000
PLC,,,,,,124500,0,0,0,0,0,0,204878,250698
"Service tax on car park, club house and PLC",0,0,0,0,0,"71,008",0,0,0,0,110272,117837,0,0
Maintenance,5320,5280,5360,4188,5352,0,"4,080",0,"4,110","4,980",0,0,0,0
One time corpus fund (1 yr maintenance),63840,63360,64320,50256,64224,0,48960,49644,"49,320","59,760",0,0,"32,007.32","39,437.58"
Campus Corpus fund,79800,79200,80400,62820,80280,0,68000,0,0,0,0,0,0,0
Additional expenses,1104978,318398,322196,0,295761,394956,320100,475144,1081900,1298400,104386,111678,276691,151459
Total,"9,641,442","9,387,882","9,522,640","6,080,976","8,848,165","6,829,714","7,662,060","6,597,028","7,966,544","9,582,684","3,479,396","3,892,490","4,761,143","5,605,578"
,,,,,,,,,,,,,,
VAT 14.5 % on 70% construction value,Included above,467083,473660,322266.6,442486.8,362122,380700,321150.96,343672.2,412419.6,173595.852,195100.6446,221268.618,270755.082
Service tax 12.36% on 40% of construction value,Included above,227513,230717,190972.8,262214.4,176388,225600,190311.68,203657.6,244396.8,102871.616,115615.1968,131122.144,160447.456
Stamp duty and registration,Included above,274600,278600,190972.8,262214.4,187280,225600,190311.68,212425.6,257676.8,102871.616,115615.1968,131122.144,160447.456
Total,Included above,969196,982977,704212.2,966915.6,725790,831900,701774.32,759755.4,914493.2,379339.084,426331.0382,483512.906,591649.994
Grand Total,9641442,10357078,10505617,6785188.2,9815080.6,"7,555,504",8493960,7298802.32,8726299.4,"10,497,177",3858735.084,4318820.938,5244656.226,6197227.574
,22%,21%,21%,14%,20%,29%,20%,23%,31%,30%,20%,20%,28%,24%